estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
OpenAIAPI:gpt-4o-2024-08-06,True,فيه أى مضيفة بتتكلم ياباني؟,['هل في مضيفات بيتكلموا ياباني؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39aee5e0>,22.416933501922287,32.66665894032656,0.006215992517955987,0.01297756563872099,0.47897985577583313,0.9740069163963199,0.4665296923401733,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,قهوة بالكريمة والسكر، من فضلك.,['قهوة بالسكر والكريمة، من فضلك.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39aee8b0>,30.878189539634487,66.31884057971014,0.09288286860799211,0.3531700670719147,0.262997567653656,0.5409341305494308,0.14226436059534553,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,فيه اى مضيفة بتتكلم ياباني؟,['هل في مضيفة بتتكلم ياباني؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b56c70>,78.60753021519781,73.11161003844963,0.0005547202352795821,0.002572864294052124,0.21560415625572205,0.9765541851520538,0.21054914112770273,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,ضيعت ورقة الاستلام بتاعتي.,['ضاعت مني بطاقة الاستلام.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b56640>,9.027235033938242,38.2843099810602,0.0024773243617394747,0.135859876871109,0.018234407529234886,0.20133642852306366,0.0036712504881702135,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,خلينا نكون سوا عشان نناقش ده اكتر .,['خلينا نتجمع عشان نناقش الموضوع ده أكتر.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b56c10>,32.55964126200301,44.50324420800341,0.8906116578465131,0.9858647584915161,0.9033811688423157,0.9863617358496413,0.8910606178331844,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,عاوز أشوف المينا.,['عايز أشوف الميناء.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b56580>,22.089591134157878,59.33761706470852,0.7723617694891161,0.9917908906936646,0.7787546515464783,0.9926029206253588,0.772994141575618,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,فين أقرب صيدلية؟,['فين أقرب صيدلية؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b56550>,100.00000000000004,100.0,0.7386903770404984,0.9362541437149048,0.7889848947525024,0.9388008008245379,0.740699651032113,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,متهيألي ان المنظر خلاب .,['أعتقد إنه جميل.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b564c0>,0.0,7.990056818181819,0.0007688206561414362,0.042513158172369,0.018084298819303513,0.7998544834554195,0.014464807490767465,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,ايه اللي حيتعزف في قاعة الحفلات الموسيقية النهاردة؟,['إيه اللي بيتعرض في قاعة الحفلات النهاردة؟'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b56460>,35.06169727269107,54.78170946943774,0.9048597446421667,0.990155816078186,0.9138559103012085,0.9912602760596201,0.9058690619238914,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",,(),egy,False,None,None
OpenAIAPI:gpt-4o-2024-08-06,True,خدني للمستشفى.,['ودّيني المستشفى.'],['stop'],<wandb.sdk.data_types.html.Html object at 0x7f7d39b56400>,16.233395773754953,44.88868997359208,0.010655740451988138,0.023477774113416672,0.45386502146720886,0.05376611836254597,0.024402560464825418,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Egyptian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",,(),egy,False,None,None
