estimator,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,_raw_turns,from_cache,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r,كاين مضيفات يهدرو اللغة اليابانية؟,['هل هناك أي مضيفات جويّة يتكلمن اليابانيّة؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d40469640>,8.562365224473284,30.613499325465877,0.0,0.002747974591329694,0.0,0.09192254021763802,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",True,,(),dza,False,None,None
Blobheart:command-r,قهوة بالكريمة و السكر، من فضلك.,['قهوة مع كريمة وسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046fdf0>,41.72261448611506,55.145925746714276,0.012421677987515034,0.04441041871905327,0.2797018885612488,0.12595546897500753,0.035229982546927385,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",True,,(),dza,False,None,None
Blobheart:command-r,كاين مضيفة تهدر اللغة اليابانية؟,['هل هناك أي مضيفة طيران تتكلم اليابانية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046ffa0>,22.997519112894437,37.19875613505948,0.0,0.002257543383166194,0.0,0.011884797713719308,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",True,,(),dza,False,None,None
Blobheart:command-r,ضاعلي بطاقة الاستلام ديالي.,['ضاعت بطاقة مطالبتـي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046ff70>,10.147104008451905,21.8063963465701,0.00016308692267154052,0.015470555983483791,0.010541762225329876,0.09634875226765871,0.0010156856371128708,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",True,,(),dza,False,None,None
Blobheart:command-r,ننجحوا في تعميق السؤال.,['نتلاقى نتناقش في هذا أكثر.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046f280>,4.990049701936832,12.195987098917527,0.0015005167397608155,0.004532229155302048,0.331076979637146,0.9781072265468538,0.32382878632639805,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",True,,(),dza,False,None,None
Blobheart:command-r,راني حاب نشوف الميناء.,['أريد أن أرى الميناء.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046f1c0>,26.78284959130087,35.21143232183072,0.0,0.0011876672506332397,0.0,0.0031790802895557135,0.0,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",True,,(),dza,False,None,None
Blobheart:command-r,وين راهي الصيدلية القريبة من هنا؟,['أين أقرب صيدلية؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046f370>,7.11586419732111,15.217173448293583,4.8365318468876896e-06,0.0005087500321678817,0.00950669590383768,0.002995776856550947,2.847993957098461e-05,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",True,,(),dza,False,None,None
Blobheart:command-r,نظن بلي رائع.,['أظنّه خلّاب.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046f8e0>,6.567274736060395,11.387079455977092,0.0014387295272680484,0.004682250786572695,0.3072730600833893,0.015423890901729465,0.004739346155766759,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",True,,(),dza,False,None,None
Blobheart:command-r,واش راهو يصرا في صالة الحفلة اليوم؟,['ماذا يعزف في قاعة الحفلات اليوم؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046f7f0>,8.054496384843702,26.746506999254727,2.24123007534126e-06,0.0009557429584674537,0.0023450134322047234,0.006745451508322731,1.5818174393302415e-05,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",True,,(),dza,False,None,None
Blobheart:command-r,اديني للمستشفى.,['خُذني إلى المُستشفى.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d4046f910>,15.619699684601283,31.062062512992245,9.771811442880595e-05,0.0010335621191188693,0.09454498440027237,0.0030922956066206098,0.00029236103988897633,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",True,,(),dza,False,None,None
