estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,raw_prompt,_raw_turns,chat_preamble,desired_output_dialect,too_few_tokens,error,tool_calls,tool_results
Blobheart:command-r-plus,True,عندما سافرت إلى الخارج في البداية، ربما كان الناس صبورين ومتفهمين، مع العلم أن المسافرين في بلد جديد بحاجة إلى التكيف.,['عندما سافرت إلى الخارج في البداية، كان الناس على الأرجح صبورين ومتفهمين، مدركين أن المسافرين في بلد جديد يحتاجون إلى التكيف.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3c0611730>,60.7642236501035,73.94304081628874,0.0002160831910978482,0.10109920054674149,0.002137338276952505,0.9254877407802269,0.001978080373219877,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen you went abroad at first, people were probably patient and understanding, knowing that travellers in a new country need to adapt.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,نظراً لاحتواء هذه البيئة الجديدة على موارد ومنافسين مختلفين، ستحتاج المجموعة الجديدة إلى خواص مختلفة أو سبل تكيف لكي تصبح منافس أقوي مقارنة بما احتاجت من قوة سابقاً.,['بيئة جديدة لديها موارد مختلفة ومنافسون مختلفون، لذلك ستحتاج المجموعة السكانية الجديدة إلى سمات أو تكيفات مختلفة لتكون منافساً قوياً عما كانت تحتاجه من قبل.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e62483a0>,11.560015386898295,35.972836855651444,0.0,0.050589077174663544,0.0,0.8508186665130779,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nThis new environment has different resources and different competitors, so the new population will need different features or adaptations to be a strong competitor than what they had needed before.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,للحصول على أخبار عن البطولات وأماكن شراء تذاكر مباريات البولو، تفقّد رابطة البولو الأرجنتينية.,['للاطلاع على أخبار البطولات ومعرفة أماكن شراء تذاكر مباريات البولو، يرجى زيارة موقع Asociacion Argentina de Polo.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e6248bb0>,39.14572728607655,47.53994212901909,0.00011288447516571206,0.008119086734950542,0.013903592713177204,0.15364111837698147,0.002136163533910596,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nFor news on tournaments and where to buy tickets for polo matches, check Asociacion Argentina de Polo.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,ففي نهاية الأمر، القائد هو المسؤول الأساسي عن نجاح وفشل الفريق.,['في نهاية المطاف، القائد هو المسؤول عن نجاح وفشل الفريق.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e6248c40>,56.32809221870116,69.70130668068653,0.0,0.11759718507528305,0.0,0.7968023775611073,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nAfter all, the leader is ultimately responsible for the success and failure of the team.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,النساء: بغض النظر عن الحالة الاجتماعية الفعلية، ينبغي على النساء المسافرات أن تعلن إنهن متزوجات.,['النساء: يُنصح بأن تقول أي مسافرة إنها متزوجة، بغض النظر عن حالتها الاجتماعية الحقيقية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e6248b80>,14.294232419337364,38.48372728171711,0.0,0.14787790179252625,0.0,0.8797498634667136,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nWomen: It is recommended that any women travellers say that they are married, regardless of actual marital status.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,يعتمد كثير من الإيقاعات المرصودة في علم وظائف الأعضاء والسلوك بشكل حاسم في كثير من الأحيان على وجود دورات ذاتية وإنتاجها من خلال الساعات البيولوجية.,['يعتمد العديد من الإيقاعات الملاحظة في علم وظائف الأعضاء والسلوك بشكل حاسم على وجود دورات داخلية وإنتاجها من خلال الساعات البيولوجية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e62488e0>,62.83781405302834,71.26288672267539,0.0,0.0708354264497757,0.0,0.7928015291690826,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nMany observed rhythms in physiology and behavior often crucially depend on the presence of endogenous cycles and their production through biological clocks.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,تتميز معظم رحلات البلطيق المتميزة بإقامة طويلة في سانت بطرسبرغ، روسيا.,['معظم رحلات بحر البلطيق المميزة تتضمن إقامة مطولة في سانت بطرسبرغ، روسيا.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e6248d00>,49.97216809386541,64.13656368425289,0.0,0.07410653680562973,0.0,0.10732155898585916,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nMost of the distinct Baltic Cruises feature an extended stay in St. Petersburg, Russia.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,عندما تتم تربيته من قبل حيوانات غير بشرية، يظهر الطفل الوحشي سلوكيات (ضمن الحدود المادية) تشبه تماماً سلوكيات حيوان الرعاية الخاصة، مثل الخوف من البشر أو عدم الاكتراث بهم.,['عندما يترعرع الطفل البري بشكل كامل على يد حيوانات غير بشرية، فإنه يظهر سلوكيات (ضمن الحدود الجسدية) تشبه إلى حد كبير سلوكيات الحيوان المُربي، مثل خوفه من البشر أو عدم مبالاته بهم.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e6248ca0>,31.335130823217167,51.826718323674406,0.0,0.041512344032526016,0.0,0.5993810800136998,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhen completely brought up by non-human animals, the feral child exhibits behaviors (within physical limits) almost entirely like those of the particular care-animal, such as its fear of or indifference to humans.\nTranslation:'}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,نظريتان شائعتان للمحتوى هما تسلسل ماسلو الهرمي للاحتياجات و نظرية العامل الثاني لهيرزبرج.,['هناك نظريتان شائعتان حول المحتوى وهما: نظرية ماسلو لتسلسل الاحتياجات ونظرية هيرتزبرغ للعاملين.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e62489a0>,23.5269071488911,45.55063399162911,0.0,0.03515549376606941,0.0,0.12151826178887859,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nTwo popular content theories are Maslow's Hierarchy of Needs Theory and Hertzberg's Two Factor Theory.\nTranslation:""}]}]",,sau,False,None,None,None
Blobheart:command-r-plus,True,لقد توصلتْ إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيعات التي أر سلها لها إناث وذكور يشجعون اعتبار أدوية منع الحمل ضرورة طبية.,['توصلت إلى هذا الاستنتاج بسبب كثرة التعليقات الإيجابية والتشجيع الذي تلقته من الأفراد من الإناث والذكور على حد سواء، الذين يحثون على اعتبار أدوية منع الحمل ضرورة طبية.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7fc3e6248940>,53.88390177706246,66.64750333310701,0.0,0.023714307695627213,0.0,0.5695808519376442,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Saudi Arabic. Output only the translation, do NOT output anything else before nor after it.\nShe came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.\nTranslation:'}]}]",,sau,False,None,None,None
