estimator,from_cache,completion,generations,finish_reasons,turns,response_spBLEU,response_chrF,dialectid_score,dialectid_prob,dialectness,macro_prob,macro_score,raw_prompt,_raw_turns,chat_preamble,documents,desired_output_dialect,too_few_tokens,error,error_traceback
Blobheart:command-r-plus,True,كاين مضيفات يهدرو اللغة اليابانية؟,['وْجَدْ لَا حَاضِرَاتْ يَتَكَلَّمْنَ الْيَابَانِيَّة؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de90be0>,1.1784531110724779,10.845802565099108,0.0,0.0,0.0,0.0,0.0,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nAre there any stewardesses who speak Japanese?\nTranslation:'}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,قهوة بالكريمة و السكر، من فضلك.,['قهوة بالحليب والسكر، من فضلك.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54760>,40.35278637463991,63.1377172278792,0.02949514903969397,0.12018750607967377,0.24540944397449493,0.18729584710672498,0.04596416969719339,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nCoffee with cream and sugar, please.\nTranslation:'}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,كاين مضيفة تهدر اللغة اليابانية؟,['وْجَدْ شْوَيّة مْضِيفَات يَتْكَلْمُوا اليَابَانِيّة؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54610>,1.0648525923253458,11.429931740083129,0.011770417830264668,0.012804288417100906,0.9192559123039246,0.8461262981873006,0.7778066021645095,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nIs there any stewardess who speaks Japanese?\nTranslation:'}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,ضاعلي بطاقة الاستلام ديالي.,['ضيعت بطاقة ادعائي.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54340>,10.229197414177778,23.013108958536456,2.4715635808815343e-05,0.003499816870316863,0.007061979733407497,0.015627674758434296,0.0001103623224243469,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI lost my claim tag.\nTranslation:'}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,ننجحوا في تعميق السؤال.,['نجتمع باش نتناقشو على هذا أكثر.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54220>,4.196114906296549,10.600547245153413,0.07516072731467416,0.10302641242742538,0.7295287251472473,0.9939368930645287,0.7251055144741815,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nLet's get together to discuss this further.\nTranslation:""}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,راني حاب نشوف الميناء.,['واش حاب نشوف المير.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54100>,42.13952948452608,52.3987500690121,0.8425079017166581,0.9602105617523193,0.8774199485778809,0.9953648730297573,0.8733529957099986,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI want to see the harbor.\nTranslation:'}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,وين راهي الصيدلية القريبة من هنا؟,['وين الصيدلية الأقرب؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54070>,14.16667529041554,34.2051740751561,0.0015062760493705155,0.0032443173695355654,0.4642813503742218,0.15859992313198745,0.07363498648096692,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhere's the nearest chemist?\nTranslation:""}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,نظن بلي رائع.,['أظنها خلابة.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54400>,8.116697886877475,11.387079455977092,0.00040762219291139157,0.005728995427489281,0.07115072757005692,0.01589590369258076,0.0011310051131106754,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': ""Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nI think it's scenic.\nTranslation:""}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,واش راهو يصرا في صالة الحفلة اليوم؟,['شنو يلعب اليوم في قاعة الحفلات؟'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54550>,5.063996506781411,23.505921616242173,0.0016312037031346316,0.0019830798264592886,0.8225607872009277,0.029114289209246635,0.02394827265075339,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nWhat is playing at the concert hall today?\nTranslation:'}]}]",,(),dza,False,None,None
Blobheart:command-r-plus,True,اديني للمستشفى.,['خذني إلى المستشفى.'],['COMPLETE'],<wandb.sdk.data_types.html.Html object at 0x7f7d3de54430>,16.233395773754953,42.12749151108766,9.771811442880595e-05,0.0010335621191188693,0.09454498440027237,0.0030922956066206098,0.00029236103988897633,nan,"[{'role': 'User', 'content': [{'type': 'text', 'text': 'Translate from English into Algerian Arabic. Output only the translation, do NOT output anything else before nor after it.\nTake me to the hospital.\nTranslation:'}]}]",,(),dza,False,None,None
